Ticker,Short Name,Market Cap,Rank(Current Market Cap),Market Cap,Price:D-1,P/E,Total Return YTD,Industry Sector,Industry Group,INDUSTRY_SUBGROUP,cap,shares
IVV US Equity,ISHARES-C S&P500,209.90B,27,209.90B,333.45,--,4.22,Funds,Equity Fund,Growth&Income-Large Cap,2.11E+11,629050000
INTC US Equity,INTEL CORP,208.06B,28,208.06B,48.92,9.38,-17.4,Technology,Semiconductors,Electronic Compo-Semicon,2.07E+11,4253000000
MRK US Equity,MERCK & CO,206.49B,29,206.49B,81.64,14.66,-8.8,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,2.05E+11,2529241070
KO US Equity,COCA-COLA CO/THE,202.83B,30,202.83B,47.22,24.39,-13.19,"Consumer, Non-cyclical",Beverages,Beverages-Non-alcoholic,2.04E+11,4295438919
CSCO US Equity,CISCO SYSTEMS,199.84B,31,199.84B,47.33,16.58,1.09,Communications,Telecommunications,Networking Products,2.02E+11,4222296202
CMCSA US Equity,COMCAST CORP-A,193.18B,32,193.18B,42.29,16.35,-4.33,Communications,Media,Cable/Satellite TV,1.96E+11,4558656239
PEP US Equity,PEPSICO INC,188.66B,33,188.66B,136.25,25.2,1.17,"Consumer, Non-cyclical",Beverages,Beverages-Non-alcoholic,1.88E+11,1384632842
CRM US Equity,SALESFORCE.COM,182.58B,35,182.58B,202.64,--,24.59,Technology,Software,Applications Software,1.87E+11,901000000
XOM US Equity,EXXON MOBIL CORP,185.41B,34,185.41B,43.85,53.66,-34.99,Energy,Oil&Gas,Oil Comp-Integrated,1.85E+11,4228233288
ABT US Equity,ABBOTT LABS,180.84B,36,180.84B,102.14,50.36,19.01,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,1.80E+11,1770529999
ORCL US Equity,ORACLE CORP,170.31B,37,170.31B,55.5,17.45,6.15,Technology,Software,Enterprise Software/Serv,1.70E+11,3068682000
TMO US Equity,THERMO FISHER,166.11B,38,166.11B,419.9,41.92,29.43,"Consumer, Non-cyclical",Healthcare-Products,Diagnostic Equipment,1.64E+11,395589400
ABBV US Equity,ABBVIE INC,164.57B,39,164.57B,93.25,11.69,9.55,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,1.63E+11,1764833246
CVX US Equity,CHEVRON CORP,162.83B,40,162.83B,87.2,899.61,-25.77,Energy,Oil&Gas,Oil Comp-Integrated,1.63E+11,1867267832
VOO US Equity,VANGUARD S&P 500,157.18B,42,157.18B,305.15,--,4.15,Funds,Equity Fund,Growth&Income-Large Cap,1.58E+11,514643604
VTI US Equity,VANGUARD TL SK E,156.17B,43,156.17B,168.84,--,4.14,Funds,Equity Fund,Growth & Income,1.57E+11,925123012
NKE US Equity,NIKE INC -CL B,157.46B,41,157.46B,100.94,56.51,0.16,"Consumer, Cyclical",Apparel,Athletic Footwear,1.57E+11,1244871297
COST US Equity,COSTCO WHOLESALE,150.10B,44,150.10B,339.97,39.95,16.43,"Consumer, Cyclical",Retail,Retail-Discount,1.52E+11,441523711
MCD US Equity,MCDONALDS CORP,148.16B,45,148.16B,199.26,32.11,2.16,"Consumer, Cyclical",Retail,Retail-Restaurants,1.51E+11,743556182
ACN US Equity,ACCENTURE PLC-A,145.72B,48,145.72B,228.7,30.12,9.94,Technology,Computers,Computer Services,1.47E+11,636196634
LLY US Equity,ELI LILLY & CO,147.62B,46,147.62B,154.34,22.92,18.6,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,1.46E+11,956470372
DHR US Equity,DANAHER CORP,145.81B,47,145.81B,205.54,57.48,34.23,"Consumer, Non-cyclical",Healthcare-Products,Diagnostic Equipment,1.46E+11,709408837
CHTR US Equity,CHARTER COMMUN-A,141.53B,49,141.53B,598.26,51.67,23.33,Communications,Media,Cable/Satellite TV,1.42E+11,204899176
AMGN US Equity,AMGEN INC,141.43B,50,141.43B,241.47,19.25,1.56,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.41E+11,585693775
NEE US Equity,NEXTERA ENERGY,138.95B,51,138.95B,283.78,32.71,18.47,Utilities,Electric,Electric-Integrated,1.38E+11,489647761
BMY US Equity,BRISTOL-MYER SQB,135.06B,53,135.06B,59.69,22.82,-4.87,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,1.38E+11,2253934635
LIN US Equity,LINDE PLC,137.05B,52,137.05B,248.27,32.43,17.73,Basic Materials,Chemicals,Industrial Gases,1.36E+11,552012862
TMUS US Equity,T-MOBILE US INC,133.67B,54,133.67B,107.9,23.05,37.85,Communications,Telecommunications,Cellular Telecom,1.34E+11,1238798631
AVGO US Equity,BROADCOM INC,132.54B,56,132.54B,329.54,50.29,7.18,Technology,Semiconductors,Electronic Compo-Semicon,1.32E+11,402185283
MDT US Equity,MEDTRONIC PLC,130.13B,57,130.13B,97.02,27.45,-13.42,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments,1.30E+11,1341298882
QQQ US Equity,INVESCO QQQ TRUS,127.50B,58,127.50B,271.05,--,27.98,Funds,Equity Fund,Sector Fund-Technology,1.28E+11,467850000
UPS US Equity,UNITED PARCEL-B,125.26B,60,125.26B,145.08,19.44,26.51,Industrial,Transportation,Transport-Services,1.26E+11,707081218
QCOM US Equity,QUALCOMM INC,125.65B,59,125.65B,111.39,37.83,28.19,Technology,Semiconductors,Semicon Compo-Intg Circu,1.25E+11,1128000000
PDD US Equity,PINDUODUO INC,132.92B,55,132.92B,97.46,--,157.69,Communications,Internet,E-Commerce/Products,1.25E+11,845190227
TXN US Equity,TEXAS INSTRUMENT,121.55B,61,121.55B,132.7,25.67,5.77,Technology,Semiconductors,Electronic Compo-Semicon,1.22E+11,915943779
UNP US Equity,UNION PAC CORP,120.47B,62,120.47B,177.47,22.45,-0.68,Industrial,Transportation,Transport-Rail,1.22E+11,678838800
PM US Equity,PHILIP MORRIS IN,119.85B,63,119.85B,76.96,15.52,-6.33,"Consumer, Non-cyclical",Agriculture,Tobacco,1.20E+11,1557287371
LOW US Equity,LOWE'S COS INC,113.45B,64,113.45B,150.26,23.21,27.27,"Consumer, Cyclical",Retail,Retail-Building Products,1.14E+11,755002775
AMT US Equity,AMERICAN TOWER C,113.24B,65,113.24B,255.29,58.05,12.04,Financial,REITS,REITS-Diversified,1.13E+11,443567868
IBM US Equity,IBM,111.72B,66,111.72B,125.45,10.2,-4.15,Technology,Computers,Computer Services,1.12E+11,890578748
HON US Equity,HONEYWELL INTL,105.84B,69,105.84B,150.82,17.97,-13.7,Industrial,Electronics,Instruments-Controls,1.07E+11,701783165
LMT US Equity,LOCKHEED MARTIN,107.20B,67,107.20B,383.5,13.62,-0.26,Industrial,Aerospace/Defense,Aerospace/Defense,1.06E+11,279542050
C US Equity,CITIGROUP INC,106.26B,68,106.26B,51.04,9.39,-34.29,Financial,Banks,Diversified Banking Inst,1.06E+11,2081864894
AMD US Equity,ADV MICRO DEVICE,100.16B,72,100.16B,85.31,126,86.02,Technology,Semiconductors,Electronic Compo-Semicon,1.02E+11,1174056713
JD US Equity,JD.COM INC-ADR,101.89B,70,101.89B,65.52,224.46,85.98,Communications,Internet,E-Commerce/Products,1.01E+11,1329701014
WFC US Equity,WELLS FARGO & CO,100.53B,71,100.53B,24.4,20.08,-53.24,Financial,Banks,Super-Regional Banks-US,99869941825,4120047105
BA US Equity,BOEING CO/THE,98.37B,73,98.37B,174.28,--,-46.18,Industrial,Aerospace/Defense,Aerospace/Defense,97198072684,564448738
RTX US Equity,RAYTHEON TECHNOL,91.71B,74,91.71B,60.03,17.27,-31.11,Industrial,Aerospace/Defense,Aerospace/Defense,91460719099,1527655238
FIS US Equity,FIDELITY NATIONA,90.77B,75,90.77B,146.5,71.7,5.91,Technology,Software,Data Processing/Mgmt,91081711854,619603482
MMM US Equity,3M CO,89.48B,76,89.48B,155.35,17.99,-10.24,Industrial,Miscellaneous Manufactur,Diversified Manufact Op,89859032952,576019442
BLK US Equity,BLACKROCK INC,89.30B,77,89.30B,582.15,20.5,17.43,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,89315010657,152434949
SBUX US Equity,STARBUCKS CORP,88.59B,78,88.59B,75.78,55.46,-12.94,"Consumer, Cyclical",Retail,Retail-Restaurants,88446540000,1169000000
GILD US Equity,GILEAD SCIENCES,86.53B,79,86.53B,69,14.33,8.24,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,86268773900,1253724370
SPGI US Equity,S&P GLOBAL INC,83.72B,82,83.72B,347.39,32.63,27.8,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,84969370000,241000000
GLD US Equity,SPDR GOLD SHARES,83.93B,81,83.93B,191.35,--,33.9,Funds,Commodity Fund,Commodity,84109484375,433800000
CVS US Equity,CVS HEALTH CORP,84.28B,80,84.28B,64.4,9.52,-11.31,"Consumer, Non-cyclical",Pharmaceuticals,Pharmacy Services,83914065214,1308703450
NOW US Equity,SERVICENOW INC,83.57B,83,83.57B,435.74,115.32,54.34,Technology,Software,Applications Software,82537294000,191800000
INTU US Equity,INTUIT INC,81.09B,85,81.09B,310.95,61.4,19.4,Technology,Software,Applications Software,81420635488,260771340
ISRG US Equity,INTUITIVE SURGIC,81.09B,86,81.09B,692.89,77.04,17.21,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments,80894139550,117025880
AGG US Equity,ISHARES CORE U.S,80.05B,87,80.05B,119.4,--,7.73,Funds,Debt Fund,Government/Corporate,80040156250,669400000
MDLZ US Equity,MONDELEZ INTER-A,78.77B,88,78.77B,55.15,21.59,1.25,"Consumer, Non-cyclical",Food,Food-Confectionery,79258494709,1428338344
MS US Equity,MORGAN STANLEY,78.48B,89,78.48B,49.77,8.81,-0.46,Financial,Banks,Diversified Banking Inst,77970829472,1576760960
PLD US Equity,PROLOGIS INC,77.48B,90,77.48B,104.9,68.81,19.29,Financial,REITS,REITS-Warehouse/Industr,77462480160,738582000
AXP US Equity,AMERICAN EXPRESS,76.80B,93,76.80B,95.39,20.01,-22.33,Financial,Diversified Finan Serv,Finance-Credit Card,77231054726,805161121
MO US Equity,ALTRIA GROUP INC,77.42B,91,77.42B,41.66,9.5,-12.53,"Consumer, Non-cyclical",Agriculture,Tobacco,77216403743,1858397202
ZTS US Equity,ZOETIS INC,74.91B,94,74.91B,157.72,44.35,19.69,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,76622194747,474940772
ZM US Equity,ZOOM VIDEO COM-A,76.99B,92,76.99B,272.9,1.48k,301.09,Technology,Software,Computer Software,75674125995,182105837
BDX US Equity,BECTON DICKINSON,82.13B,84,82.13B,283.43,24.59,4.9,"Consumer, Non-cyclical",Pharmaceuticals,Drug Delivery Systems,75252774525,289868551
VEA US Equity,VANGUARD FTSE ET,73.94B,95,73.94B,41.04,--,-5.96,Funds,Equity Fund,International Equity,74094718750,1801476224
GS US Equity,GOLDMAN SACHS GP,73.32B,96,73.32B,204.52,8.58,-9.93,Financial,Banks,Diversified Banking Inst,73221175226,343886589
CAT US Equity,CATERPILLAR INC,73.09B,97,73.09B,134.97,16.24,-6.46,Industrial,Machinery-Constr&Mining,Machinery-Constr&Mining,72773068614,541506575
BKNG US Equity,BOOKING HOLDINGS,70.60B,101,70.60B,1724.77,19.05,-16.02,Communications,Internet,E-Commerce/Services,71733402299,40948631
EL US Equity,ESTEE LAUDER,72.45B,98,72.45B,201.24,30.16,-2.31,"Consumer, Non-cyclical",Cosmetics/Personal Care,Cosmetics&Toiletries,71726126244,224763197
VRTX US Equity,VERTEX PHARM,71.17B,99,71.17B,273.23,40.11,24.79,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,71196141076,260467334
SYK US Equity,STRYKER CORP,70.60B,100,70.60B,187.96,31.63,-9.86,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,70835500274,375605813
EQIX US Equity,EQUINIX INC,70.32B,102,70.32B,794.04,124.61,37.17,Financial,REITS,REITS-Diversified,70142550883,88557118
CCI US Equity,CROWN CASTLE INT,69.04B,104,69.04B,164.52,88.99,17.58,Financial,REITS,REITS-Diversified,68771042191,419668287
IEFA US Equity,ISH CORE EAFE,68.40B,106,68.40B,60.13,--,-6.7,Funds,Equity Fund,International Equity,68542406250,1138200000
FISV US Equity,FISERV INC,65.61B,110,65.61B,98,46.04,-15.25,Technology,Software,Data Processing/Mgmt,68541800689,669484281
SQ US Equity,SQUARE INC - A,65.00B,113,65.00B,146.55,--,134.26,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,68303889192,371293974
ANTM US Equity,ANTHEM INC,69.33B,103,69.33B,275.65,11.52,-8.11,"Consumer, Non-cyclical",Healthcare-Services,Medical-HMO,68278973218,251506458
ATVI US Equity,ACTIVISION BLIZZ,65.08B,112,65.08B,84.32,38.26,42.82,Technology,Software,Entertainment Software,67029369517,771872058
D US Equity,DOMINION ENERGY,66.97B,107,66.97B,79.71,15.57,-1.56,Utilities,Electric,Electric-Integrated,66900018054,840135854
NTES US Equity,NETEASE INC-ADR,66.45B,108,66.45B,480.83,29.1,57.79,Technology,Software,Entertainment Software,66618810577,138204698
REGN US Equity,REGENERON PHARM,66.44B,109,66.44B,624.52,24.91,66.33,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,66092019077,104543424
SE US Equity,SEA LTD-ADR,68.80B,105,68.80B,145.47,--,261.69,Technology,Software,Entertainment Software,65370037838,320800477
CL US Equity,COLGATE-PALMOLIV,65.32B,111,65.32B,76.18,25.18,12.66,"Consumer, Non-cyclical",Cosmetics/Personal Care,Cosmetics&Toiletries,65042378262,857400188
TGT US Equity,TARGET CORP,64.69B,114,64.69B,129.37,23.58,2.01,"Consumer, Cyclical",Retail,Retail-Discount,64506997075,500015480
TJX US Equity,TJX COS INC,64.13B,116,64.13B,53.54,68.08,-12,"Consumer, Cyclical",Retail,Retail-Major Dept Store,63978615591,1197877094
BX US Equity,BLACKSTONE GRO-A,63.66B,117,63.66B,52.94,83.09,-3.04,Financial,Private Equity,Private Equity,63733024276,676874583
CI US Equity,CIGNA CORP,64.40B,115,64.40B,174.87,11.82,-14.47,"Consumer, Non-cyclical",Pharmaceuticals,Pharmacy Services,63551412861,367200629
APD US Equity,AIR PRODS & CHEM,62.87B,118,62.87B,284.62,33.92,22.61,Basic Materials,Chemicals,Industrial Gases,62510899464,220894376
VWO US Equity,VANGUARD FTSE EM,61.73B,119,61.73B,44.28,--,0.19,Funds,Equity Fund,Emerging Market-Equity,61986375000,1397978672
DUK US Equity,DUKE ENERGY CORP,61.38B,120,61.38B,83.51,16.35,-6.52,Utilities,Electric,Electric-Integrated,61894350000,735000000
VUG US Equity,VANGUARD GRW ETF,61.02B,122,61.02B,221.65,--,22.23,Funds,Equity Fund,Growth-Large Cap,61503738281,274349818
MELI US Equity,MERCADOLIBRE INC,60.92B,123,60.92B,1225.45,--,114.26,Communications,Internet,E-Commerce/Services,60644156702,49709955
UBER US Equity,UBER TECHNOLOGIE,57.97B,133,57.97B,33.2,--,11.63,Communications,Internet,E-Commerce/Services,60602174759,1745957210
VMW US Equity,VMWARE INC-CL A,61.14B,121,61.14B,145.9,39.88,-3.88,Technology,Software,Software Tools,60485710198,111828394
MMC US Equity,MARSH & MCLENNAN,59.99B,124,59.99B,118.43,24.2,7.71,Financial,Insurance,Insurance Brokers,60160486743,506529315
SHW US Equity,SHERWIN-WILLIAMS,59.25B,128,59.25B,650.73,31.86,12.07,Basic Materials,Chemicals,Coatings/Paint,59598374637,91049658
ITW US Equity,ILLINOIS TOOL WO,59.56B,125,59.56B,188.53,28.34,6.41,Industrial,Miscellaneous Manufactur,Diversified Manufact Op,59422882650,316163249
BND US Equity,VANGUARD TOTAL B,59.41B,127,59.41B,89.34,--,8.02,Funds,Debt Fund,Government/Corporate,59407832031,663923018
IWF US Equity,ISHARES RUSSELL,58.64B,130,58.64B,211.41,--,20.76,Funds,Equity Fund,Growth-Large Cap,59039476563,276700000
CME US Equity,CME GROUP INC,58.52B,131,58.52B,163.17,24.41,-18.01,Financial,Diversified Finan Serv,Finance-Other Services,58804053121,358623764
ILMN US Equity,ILLUMINA INC,58.91B,129,58.91B,400.74,61.64,20.8,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,58701510000,147000000
ADP US Equity,AUTOMATIC DATA,57.95B,134,57.95B,134.77,23.26,-19.9,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,58698877091,429965405
AMAT US Equity,APPLIED MATERIAL,59.45B,126,59.45B,64.87,19.69,7.03,Technology,Semiconductors,Semiconductor Equipment,58297247828,916479293
LQD US Equity,ISHARES IBOXX IN,58.09B,132,58.09B,138.56,--,10.16,Funds,Debt Fund,Corp/Pref-Inv Grade,58109039063,417600000
CB US Equity,CHUBB LTD,56.72B,136,56.72B,125.67,18.35,-18.16,Financial,Insurance,Multi-line Insurance,57124867165,451365891
SO US Equity,SOUTHERN CO,56.44B,139,56.44B,53.4,17.19,-14.39,Utilities,Electric,Electric-Integrated,56962089716,1057006675
DE US Equity,DEERE & CO,57.20B,135,57.20B,182.82,18.64,6.61,Industrial,Machinery-Diversified,Machinery-Farm,56708755455,312858631
NEM US Equity,NEWMONT CORP,56.51B,138,56.51B,70.37,45.27,63.13,Basic Materials,Mining,Gold Mining,56303315172,803071105
ECL US Equity,ECOLAB INC,55.51B,143,55.51B,191.94,37.39,-0.03,Basic Materials,Chemicals,Chemicals-Specialty,55421723305,285384775
USB US Equity,US BANCORP,55.52B,142,55.52B,36.86,11.26,-36.38,Financial,Banks,Super-Regional Banks-US,55416375842,1506289096
GE US Equity,GENERAL ELECTRIC,56.02B,140,56.02B,6.4,41.73,-42.5,Industrial,Miscellaneous Manufactur,Diversified Manufact Op,55408319370,8753289000
CSX US Equity,CSX CORP,54.65B,146,54.65B,71.43,20.2,-0.57,Industrial,Transportation,Transport-Rail,55290347716,765052549
LRCX US Equity,LAM RESEARCH,55.73B,141,55.73B,383.47,24.21,32.3,Technology,Semiconductors,Semiconductor Equipment,54907505110,145331000
IEMG US Equity,ISHA CORE EM,54.65B,145,54.65B,53.36,--,0.18,Funds,Equity Fund,Emerging Market-Equity,54804941406,1024200000
NOC US Equity,NORTHROP GRUMMAN,54.97B,144,54.97B,329.71,15.27,-3.38,Industrial,Aerospace/Defense,Aerospace/Defense,54405467319,166714063
BSX US Equity,BOSTON SCIENTIFC,53.98B,147,53.98B,37.73,52.8,-16.56,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments,54208263171,1430674668
MU US Equity,MICRON TECH,56.72B,137,56.72B,51.05,23.43,-5.08,Technology,Semiconductors,Electronic Compo-Semicon,54105625586,1110998472
HUM US Equity,HUMANA INC,53.43B,148,53.43B,403.91,16.96,10.6,"Consumer, Non-cyclical",Healthcare-Services,Medical-HMO,53926418679,132292566
ADSK US Equity,AUTODESK INC,53.31B,149,53.31B,243.2,182.93,32.56,Technology,Software,Computer Aided Design,53389744603,219196718
KMB US Equity,KIMBERLY-CLARK,53.15B,150,53.15B,155.84,20.75,15.03,"Consumer, Non-cyclical",Household Products/Wares,Consumer Products-Misc,53363648499,341047156
ICE US Equity,INTERCONTINENTAL,52.24B,152,52.24B,96.16,24.62,4.65,Financial,Diversified Finan Serv,Finance-Other Services,52947744356,543276671
GPN US Equity,GLOBAL PAYMENTS,52.17B,153,52.17B,174.34,60.99,-4.28,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,52816438920,299243280
PGR US Equity,PROGRESSIVE CORP,53.05B,151,53.05B,90.62,10.15,29.56,Financial,Insurance,Property/Casualty Ins,52457416747,585396906
MCO US Equity,MOODY'S CORP,52.11B,154,52.11B,277.62,30.01,17.44,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,52428364000,187700000
TFC US Equity,TRUIST FINANCIAL,50.75B,155,50.75B,37.66,9.69,-31.64,Financial,Banks,Commer Banks-Southern US,50602715397,1347608932
NSC US Equity,NORFOLK SOUTHERN,49.25B,157,49.25B,193.06,21.61,0.44,Industrial,Transportation,Transport-Rail,49942737285,255109247
VTV US Equity,VANGUARD VAL ETF,49.66B,156,49.66B,104.89,--,-11.06,Funds,Equity Fund,Value-Large Cap,49835500000,475348151
TAL US Equity,TAL EDUCATIO-ADR,49.24B,158,49.24B,82.02,471.96,70.17,"Consumer, Non-cyclical",Commercial Services,Schools,48806602254,399503599
DG US Equity,DOLLAR GENERAL C,49.16B,159,49.16B,195.28,24.61,25.96,"Consumer, Cyclical",Retail,Retail-Discount,48469037981,251721828
EW US Equity,EDWARDS LIFE,48.57B,160,48.57B,78.12,43.77,0.46,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments,48128938375,621740581
EFA US Equity,ISHARES MSCI EAF,47.55B,161,47.55B,63.82,--,-6.79,Funds,Equity Fund,International Equity,47687496094,746400000
SPOT US Equity,SPOTIFY TECHNOLO,46.30B,162,46.30B,249.25,--,66.67,Communications,Internet,Internet Content-Info/Ne,47431913170,185774374
WM US Equity,WASTE MANAGEMENT,46.12B,163,46.12B,109.18,26.67,-3.27,Industrial,Environmental Control,Non-hazardous Waste Disp,46627041209,422461187
ROP US Equity,ROPER TECHNOLOGI,45.57B,165,45.57B,435.22,44.89,23.4,Industrial,Electronics,Electronic Measur Instr,45756531065,104710813
VIG US Equity,VANGUARD DVD A E,45.28B,166,45.28B,125.15,--,1.37,Funds,Equity Fund,Aggressive Growth,45510796875,362462559
PNC US Equity,PNC FINANCIAL SE,45.24B,167,45.24B,106.56,17.84,-31.16,Financial,Banks,Super-Regional Banks-US,45434540143,424502851
AON US Equity,AON PLC-CLASS A,45.99B,164,45.99B,198.53,21.11,-4.05,Financial,Insurance,Insurance Brokers,45313122225,231650336
DELL US Equity,DELL TECHN-C,44.90B,169,44.90B,60.61,42.98,17.94,Technology,Computers,Computers,45152763542,254592425
FDX US Equity,FEDEX CORP,44.98B,168,44.98B,171.7,18.1,14.7,Industrial,Transportation,Transport-Services,45119042391,261954496
IJH US Equity,ISHARES-C S&P MC,44.86B,170,44.86B,191.77,--,-5.95,Funds,Equity Fund,Growth & Income-Mid Cap,44953312500,235050000
HCA US Equity,HCA HEALTHCARE I,44.08B,174,44.08B,130.41,12.14,-11.47,"Consumer, Non-cyclical",Healthcare-Services,Medical-Hospitals,44728566256,338033300
LULU US Equity,LULULEMON ATH,44.33B,172,44.33B,340.42,76.95,46.94,"Consumer, Cyclical",Retail,Retail-Apparel/Shoe,44163615348,124814503
MNST US Equity,MONSTER BEVERAGE,43.76B,176,43.76B,83.1,39.21,30.76,"Consumer, Non-cyclical",Beverages,Beverages-Non-alcoholic,44039917110,527361000
BIIB US Equity,BIOGEN INC,43.72B,177,43.72B,276.17,7.83,-6.93,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,43957318358,158313471
TEAM US Equity,ATLASSIAN CORP-A,44.56B,171,44.56B,180.5,--,49.99,Technology,Software,Enterprise Software/Serv,43931263240,125801914
IJR US Equity,ISHARES CORE S&P,43.42B,178,43.42B,74.1,--,-10.91,Funds,Equity Fund,Growth&Income-Small Cap,43554476563,591050000
DLR US Equity,DIGITAL REALTY,44.19B,173,44.19B,159.61,234.42,35.57,Financial,REITS,REITS-Diversified,43468976063,268399073
BIDU US Equity,BAIDU INC-SP ADR,43.38B,179,43.38B,125.85,20.84,-0.44,Communications,Internet,Web Portals/ISP,43283181396,272653660
WDAY US Equity,WORKDAY INC-A,43.24B,181,43.24B,183.99,--,11.88,Technology,Software,Enterprise Software/Serv,43167150000,174000000
